id,tweet_id,created_at_tweet,favorite_count,retweet_count,sensitive,no_hashtags,no_mentions,no_urls,no_media,engagement,effective_length,polarity,subjectivity,average_engagement,common_words,common_ht_words,common_hts,partition,core,katz,betweenness,authority,hubs,pagerank,screen_name,followers,friends,verified,description,created_at_account,listed,tipo
32167239,1125803885401180000,afternoon,15,3,FALSE,0,1,0,1,18,199,0.48,0.77,23.14285714,"[('canela', 9), ('colombia', 5), ('dale', 5)]","[('canela', 7), ('miedo', 3), ('octu', 2)]","[('Canela', 7), ('SinMiedo', 3), ('HoyDecido', 2)]",3,30,0.020898649,5668.617012,0.000575237,0.000323143,0.000834726,NicolasMayorca,50865,1131,TRUE,Cantautor colombiano Contrataciones: lucas@nicolasmayorca.com o management@nicolasmayorca.com Instagram: NicolasMayorca,2009,225,entretenimiento
32167239,1125752636186280000,afternoon,34,13,FALSE,1,1,0,1,47,229,-0.0833,0.2,23.14285714,"[('canela', 9), ('colombia', 5), ('dale', 5)]","[('canela', 7), ('miedo', 3), ('octu', 2)]","[('Canela', 7), ('SinMiedo', 3), ('HoyDecido', 2)]",3,30,0.020898649,5668.617012,0.000575237,0.000323143,0.000834726,NicolasMayorca,50865,1131,TRUE,Cantautor colombiano Contrataciones: lucas@nicolasmayorca.com o management@nicolasmayorca.com Instagram: NicolasMayorca,2009,225,entretenimiento
32167239,1124713757127650000,afternoon,1,0,FALSE,0,3,0,1,1,25,-0.3,0.45,23.14285714,"[('canela', 9), ('colombia', 5), ('dale', 5)]","[('canela', 7), ('miedo', 3), ('octu', 2)]","[('Canela', 7), ('SinMiedo', 3), ('HoyDecido', 2)]",3,30,0.020898649,5668.617012,0.000575237,0.000323143,0.000834726,NicolasMayorca,50865,1131,TRUE,Cantautor colombiano Contrataciones: lucas@nicolasmayorca.com o management@nicolasmayorca.com Instagram: NicolasMayorca,2009,225,entretenimiento
32167239,1117988839535070000,early morning,9,1,FALSE,0,1,0,1,10,48,0.5,0.5,23.14285714,"[('canela', 9), ('colombia', 5), ('dale', 5)]","[('canela', 7), ('miedo', 3), ('octu', 2)]","[('Canela', 7), ('SinMiedo', 3), ('HoyDecido', 2)]",3,30,0.020898649,5668.617012,0.000575237,0.000323143,0.000834726,NicolasMayorca,50865,1131,TRUE,Cantautor colombiano Contrataciones: lucas@nicolasmayorca.com o management@nicolasmayorca.com Instagram: NicolasMayorca,2009,225,entretenimiento
32167239,1117974234821720000,early morning,6,2,FALSE,1,0,0,1,8,81,0,0,23.14285714,"[('canela', 9), ('colombia', 5), ('dale', 5)]","[('canela', 7), ('miedo', 3), ('octu', 2)]","[('Canela', 7), ('SinMiedo', 3), ('HoyDecido', 2)]",3,30,0.020898649,5668.617012,0.000575237,0.000323143,0.000834726,NicolasMayorca,50865,1131,TRUE,Cantautor colombiano Contrataciones: lucas@nicolasmayorca.com o management@nicolasmayorca.com Instagram: NicolasMayorca,2009,225,entretenimiento
32167239,1107434453037730000,late night,1,0,FALSE,0,1,1,0,1,20,0,0,23.14285714,"[('canela', 9), ('colombia', 5), ('dale', 5)]","[('canela', 7), ('miedo', 3), ('octu', 2)]","[('Canela', 7), ('SinMiedo', 3), ('HoyDecido', 2)]",3,30,0.020898649,5668.617012,0.000575237,0.000323143,0.000834726,NicolasMayorca,50865,1131,TRUE,Cantautor colombiano Contrataciones: lucas@nicolasmayorca.com o management@nicolasmayorca.com Instagram: NicolasMayorca,2009,225,entretenimiento
32167239,1105583795632330000,night,24,13,FALSE,1,1,0,1,37,84,0,0,23.14285714,"[('canela', 9), ('colombia', 5), ('dale', 5)]","[('canela', 7), ('miedo', 3), ('octu', 2)]","[('Canela', 7), ('SinMiedo', 3), ('HoyDecido', 2)]",3,30,0.020898649,5668.617012,0.000575237,0.000323143,0.000834726,NicolasMayorca,50865,1131,TRUE,Cantautor colombiano Contrataciones: lucas@nicolasmayorca.com o management@nicolasmayorca.com Instagram: NicolasMayorca,2009,225,entretenimiento
32167239,1105134723041570000,afternoon,18,12,FALSE,1,1,0,1,30,81,0.375,0.825,23.14285714,"[('canela', 9), ('colombia', 5), ('dale', 5)]","[('canela', 7), ('miedo', 3), ('octu', 2)]","[('Canela', 7), ('SinMiedo', 3), ('HoyDecido', 2)]",3,30,0.020898649,5668.617012,0.000575237,0.000323143,0.000834726,NicolasMayorca,50865,1131,TRUE,Cantautor colombiano Contrataciones: lucas@nicolasmayorca.com o management@nicolasmayorca.com Instagram: NicolasMayorca,2009,225,entretenimiento
32167239,1098644221764990000,afternoon,1,0,FALSE,0,0,1,0,1,5,0,0,23.14285714,"[('canela', 9), ('colombia', 5), ('dale', 5)]","[('canela', 7), ('miedo', 3), ('octu', 2)]","[('Canela', 7), ('SinMiedo', 3), ('HoyDecido', 2)]",3,30,0.020898649,5668.617012,0.000575237,0.000323143,0.000834726,NicolasMayorca,50865,1131,TRUE,Cantautor colombiano Contrataciones: lucas@nicolasmayorca.com o management@nicolasmayorca.com Instagram: NicolasMayorca,2009,225,entretenimiento
32167239,1098017399117360000,late night,3,0,FALSE,0,0,1,0,3,22,0.1364,0.5,23.14285714,"[('canela', 9), ('colombia', 5), ('dale', 5)]","[('canela', 7), ('miedo', 3), ('octu', 2)]","[('Canela', 7), ('SinMiedo', 3), ('HoyDecido', 2)]",3,30,0.020898649,5668.617012,0.000575237,0.000323143,0.000834726,NicolasMayorca,50865,1131,TRUE,Cantautor colombiano Contrataciones: lucas@nicolasmayorca.com o management@nicolasmayorca.com Instagram: NicolasMayorca,2009,225,entretenimiento
