id,screen_name,followers,friends,verified,description,created_at,listed,tipo
11545,diegocambiaso,120333,4045,TRUE,Desarrollador de software  comunicador social (en progreso) y fotógrafo📷  Blogger desde el 2006 🤓 #Tecnologia & #SocialMedia💕  EN-ES-IT De Rosario  Argentina,2006,669,personal
782076,Caidadelatorre,77081,299,TRUE,Columnista de @ElTiempo. Occasional collaborator at @NyTimes. Assistant Professor. Letraherida. Author of Campos de Pop Corn 📕. #MeTooColombia #metoo,2007,505,personal
3376511,JuanPabloCalvas,64227,5443,FALSE,/ periodista / lector / no voy en avión  voy en tren /,2007,400,journalism
6003222,Solano,66092,3065,TRUE,Periodista. Consultor en reputación  #TransformaciónDigital. #BrigadaDigital @AmigosTIC #Emprendedor | Entre Bogotá y Socorro | @vanguardiacom,2007,1574,journalism
7641802,noticucuta,133474,729,FALSE,,2007,437,news
9633802,ELTIEMPO,6706865,26005,TRUE,Principales news de Colombia  el mundo  sportss  economía  política  tecnología  cultura  estilo de vida  tendencias y mucho más. El Tiempo Casa Editorial.,2007,15642,news
12542002,juaneslewin,20328,2515,FALSE,En La Silla vacía escribo  acá debato y mamo gallo. A mí que me cubran ¡Elijan ser SuperAmigos! https://t.co/W3ZB3v2OCB,2008,244,personal
13438282,ivanbor,17660,11535,TRUE,Corresponsal de la BBC en Colombia. Como todavía no me contrata un equipo de fútbol  vivo del journalism. 2 libros de crónicas. Antes Miami  La Habana y La Paz.,2008,288,journalism
14050583,elpaiscali,650969,2689,TRUE,Te informamos del acontecer de Cali y el Valle del Cauca. Únete a la conversación con: #ReporteroCiudadano #DenunciaCaleña #TraficoCali,2008,2438,news
14401149,futbolred,874411,646,FALSE,news 📋y estadísticas 📈 del fútbol profesional en Colombia y el mundo ⚽️ Síganos en Instagram y en Facebook como @Futbolredcom,2008,2194,sports
14485358,wingo,42083,87,FALSE,Cuenta oficial de la aerolínea más cool donde vuelas bien sin pagar más. ✈️ Nos tuiteamos todos los días de 7:00 a.m. a 9:00 p.m. ¿Ya descubriste el #ModoWingo?,2008,57,company
14834302,elespectador,4929564,53175,TRUE,news de Colombia y el mundo. El Espectador  el valor de la información. @sportssEE  @EEpersonal  @EspectadorVideo  @EspectadorBlogs  @TecnoEspectador,2008,12032,news
14884514,EEpersonal,500209,40,FALSE,Las mejores columnas editoriales y de opinión del diario @ElEspectador. Aquí la opinión es noticia. #EditorialEE,2008,909,journalism
14885293,jorgitomacumba,17928,11493,FALSE,Escritor amateur y mamagallista consumado.,2008,455,personal
15171377,ShockCo,213866,6939,TRUE,Shock es el lado B de la cultura pop y de la nueva música colombiana. El toque ácido de todo lo que les interesa a las nuevas generaciones.  👉 @VolkGamesBS 🎮,2008,1178,news
15232111,CinematecaBta,35723,841,FALSE,Cinemateca de Bogotá  Transformando miradas desde 1971.,2008,269,government entity
15404821,mincultura,562919,4564,TRUE,Cuenta oficial del Ministerio de Cultura de Colombia  | Ministra  @carmenIvasquez | #LaCulturaEsDeTodos,2008,1897,politics
15493583,PartidoMIRA,63527,392,TRUE,Única cuenta oficial del Partido Político MIRA en Twitter. Encuéntrenos también en https://t.co/N23smhxzI7 y en https://t.co/nlfE0HRgoU,2008,318,politics
15537702,Baena,59803,749,TRUE,Viceministro de Relaciones Laborales e Inspección en @MinTrabajoCol,2008,301,politics
15695712,JoseCarlosTecno,222216,18968,TRUE,🚀Periodista. Tecnología  gadgets  radio  digital #TransformaciónDigital  👉📲Instagram: JoseCarlosTecno - Oigo e interactúo con @BluRadioCo @LaKalle @HJCKRadio,2008,771,journalism
15930883,VLADDO,1277320,1667,TRUE,🎙 Caricaturista  columnista || Cartoonist | Columnist Semana / El Tiempo,2008,2990,personal
15935288,elempleocom,76226,1450,FALSE,Perfil oficial de http://t.co/2LY5q6Yr. Ofertas y news de trabajo. La mejor opción para su búsqueda de empleo y la selección de talentos en las compañías.,2008,575,company
16267101,museumnerd,231002,3823,FALSE,Museums. Art. History. Art History. Education. Museology. Historiography. Logophilia. Punnery. Ajedréz. Since 2008. Winner of 2013 @ShortyAwards Best Museum.,2008,3747,informative
16578268,Millonarios,260625,9605,FALSE,Cuenta partidaria de Millonarios FC. El equipo más grande del fútbol colombiano.,2008,517,sports
16680420,Humananews,29508,14090,FALSE,Sistema Informátivo de @HumanaRadio_ // Recibimos sus denuncias al email prensa@humanaradio.com.co,2008,50,news
17216417,cartelurbano,85451,4862,FALSE,journalism callejero y cultural alternativa.,2008,625,journalism
17572957,MauricioJaramil,63343,6973,TRUE,Periodista  estratega y consultor digital • Tecnología/Innovación/Ciencia/journalism • 2019: @ImpactoTIC  @HangoutsPer y @AmigosTIC. 🎙️💻🙏💡💙⚽️🇨🇴,2008,1431,journalism
17813487,newsCaracol,8356138,1300,TRUE,¡Primero en news!,2008,17925,news
17868951,Juanpis,47875,8603,FALSE,,2008,319,entertainment
18079284,RevistaSemana,4241299,2364,TRUE,journalism con carácter.,2008,10879,news
18256297,Superlitio,81115,145,TRUE,,2008,602,entertainment
18396299,diazsalamanca,368525,8280,FALSE,Periodista. Humorista.,2008,817,journalism
18488699,GarciaColorad0,31041,27152,FALSE,Abogado y político en formación. @Bogota @partidoverdecol - Co-Fundador.,2008,184,personal
18730977,radionica,639141,131950,TRUE,RadioPública de Colombia. Btá 99.1  M/llín 99.9  Cali 94.5  B/quilla 95.1  S.Marta 95.1  R/hacha 95.1  Málaga 92.3  Pei 95.6 ¡Somos radio cultural!,2009,2001,radio
18750741,moveconcertsco,38290,252,TRUE,¡Somos fans! Producimos grandes conciertos y experiencias únicas #WeLoveMusic,2009,383,fans
19236074,CaracolRadio,3539440,173,TRUE,¡Más compañía! | Primer lugar en news  sportss y opinión | #AlAire: https://t.co/8vOONOA0wm,2009,9128,news
19275255,ENTERCO,457588,186,TRUE,Somos periodistas y blogueros con una enfermedad crónica en común: estamos obsesionados con la tecnología y la cultura digital.,2009,3401,journalism
19347804,fraynelson,36209,33,FALSE,La respuesta al fuego que destruye es el fuego que construye  la gracia bendita del Espíritu Santo en la Iglesia.,2009,238,religion
19844693,ForosSemana,58100,2178,FALSE,Los debates que el país necesita. En Facebook 👉🏻 https://t.co/kPvbTwV1F3,2009,477,evento
20058795,campuspartyco,32672,498,TRUE,#CPCo2019 - 18 AL 22 DE JUNIO EN CORFERIAS | BOGOTÁ,2009,663,evento
20105871,fundacionnatura,24059,1063,FALSE,Somos una ngo creada en 1983  dedicada a la conservación  uso y manejo de la biodiversidad  para generar beneficios sociales  económicos y ambientales.,2009,212,ngo
20456814,German_Vargas,825799,16,TRUE,Cuenta Oficial de Germán Vargas Lleras  ExVicepresidente de la República de Colombia,2009,2605,politics
20560294,WRadioColombia,3779192,222,TRUE,Perfil oficial de W Radio en Colombia  bajo la dirección de Julio Sánchez Cristo. Más piel  más W.,2009,9421,news
20801337,villamizar,32255,542,FALSE,Papá de Alberto  Secretario de Seguridad y Justicia de Cali. @SeguridadCali,2009,207,politics
20980846,ValoraAnalitik,42620,1349,FALSE,Suministramos información económica  política  companyrial y bursátil de alto impacto para aquellos que toman decisiones!   Conoce + en https://t.co/IOp7RmCiIN,2009,328,informative
21361911,andresduke,89149,2171,FALSE,Periodista  comunicador  creativo  publicista  productor de radio  libretista y creador de contenido,2009,122,journalism
21652234,thehalleffect,34212,248,FALSE,BOOKING / EVENTOS: somosthe@gmail.com 310 476 93 62 (Colombia) Rock Colombiano,2009,260,entertainment
21656088,HeroeDeFiccion,100686,0,FALSE,No es preciso estar loco para tener Twitter  pero facilita las cosas.,2009,490,personal
21679761,jhonnyrivera,184106,818,FALSE,"Mira Ya Mi Nuevo Vídeo ""Alguien me Gusta"" https://t.co/vzgznqVaoC",2009,521,entertainment
21837373,LATAM_CO,654277,41227,TRUE,Bienvenido a LATAM Airlines Colombia. Estamos listos para ayudarte 24/7. Descubre más sobre nosotros en https://t.co/MdmOjqPrVE,2009,1256,company
21879057,OFFCORSS,15380,9027,FALSE,https://t.co/J9HTIhduah,2009,39,company
21938850,RafaelPardo,305945,1813,TRUE,Influencer Bogotano. Economista.,2009,1279,personal
21952958,udsnoexisten,296670,70648,TRUE,Capítulo II del podcast con @christiangadejo. “La cita fallida de Lo Tártaro https://t.co/ck1ucbvgvU Mis personales acá no comprometen mi sitio de trabajo.,2009,897,personal
22142090,Radioacktiva_,1976527,362,TRUE,Somos rock  lo menos peor de la radio  hinchas del fútbol  videojugadores  mamagallistas certificados y cazadores de tesoros esculturales | 97.9FM Bogotá,2009,2469,radio
22160612,javerianacali,19317,978,FALSE,Pontificia Universidad Javeriana is a private higher education institution founded in 1623. We're a university where human and academic excellence hold together,2009,166,education
22386555,JorgeARestrepo,25129,538,TRUE,Profesor Asociado de economía @UniJaveriana Analista en @RCNradio Director de @CERAC  #CuidarLaVida,2009,242,personal
22488241,AntanasMockus,2013080,10439,TRUE,Senador de la República. Defensor de la vida. Ideólogo de la #CulturaCiudadana. Exrector de la UN. Dos veces alcalde de Bogotá. #LaVidaEsSagrada,2009,4005,politics
23547038,colombia_travel,194484,1295,TRUE,Official Colombia Travel & Tourism account. #VisitColombia https://t.co/qNl0d3htkd,2009,1320,government entity
24376343,lasillavacia,1235165,3160,TRUE,La principal cuenta de Twitter del medio especializado en poder en Colombia. Acá trinamos nuestros contenidos e interactuamos con todos ustedes.,2009,4012,news
24594636,DONTETTO,301106,158,TRUE,Gracias por Escucharnos y creer en lo que hacemos!! ROCK ON!! CONTRATACION: dt@dontetto.com +57 3108192224,2009,924,entertainment
25185308,sergio_fajardo,1447215,345,TRUE,Ph.D. en Matemáticas. Univ. of Wisconsin-Madison. Excandidato presidencial 2018. Gobernador de Antioquia 2012-2015. Alcalde de Medellín 2004-2007.,2009,2622,politics
25323002,ANIABELLO_R,24326,595,FALSE,Ex candidata al Senado por el CD  columnista de opinión. https://t.co/6Sjec3BYEJ https://t.co/UxUhpzjuUh,2009,74,politics
25467172,frisbylohace,19291,2073,FALSE,La crocancia y el sabor irresistible de nuestros productos te harán vivir momentos únicos. #NadieLoHaceComoFrisbyLoHace,2009,106,company
25490757,ghitis,45777,1692,FALSE,Columnista de El Parche del Capuchino con licencia para trinar. La justicia no puede ser víctima de la paz.🇨🇴🇮🇱🇺🇸,2009,113,journalism
26256322,natybotero,140213,1812,TRUE,info@natybotero.com / 2 Nuevos álbumes disponibles: INDIOS https://t.co/ILVifL3cpr IN LOVE https://t.co/19bRlK23A7,2009,541,personal
26610135,MoniMartinez,30642,5134,FALSE,Periodista Musical/ @m2agencia RADIO Discjockey VoiceOver & TV Host/ Actriz de doblaje / antes @laxmasmusica @wradiocolombia @canaltrececo podcaster 👇🏻,2009,118,entertainment
26847262,CarlosMiraCM,36610,1686,FALSE,Actor  Publicista  torpe  locutor y creativo de una emisora  donde también riego tintos 🐼 Paisa en Bogotá! Contacto: crea@carlosmiracm.co,2009,31,entertainment
