_id,partition,core,in_degree,clustering,closeness,betweenness,vote_rank,authority,hubs,pagerank,ambassador,community_hub,screen_name,followers,friends,verified,description,created_at,listed,tipo,,{,"""",:,",",},,,,
14485358,2,20,14,0.029100529,0.342871911,8.18E-05,0,0.000168797,0.000167847,0.000332464,0.04519774,0.041499677,wingo,42083,87,FALSE,Cuenta oficial de la aerolínea más cool donde vuelas bien sin pagar más. ✈️ Nos tuiteamos todos los días de 7:00 a.m. a 9:00 p.m. ¿Ya descubriste el #ModoWingo?,2008,57,company,,,"{""_id"":14485358,","""partition"":2,","""screen_name"":""wingo"",","""followers"":42083,","""verified"":""FALSE"",","""description"":""Cuenta oficial de la aerolínea más cool donde vuelas bien sin pagar más. ✈️ Nos tuiteamos todos los días de 7:00 a.m. a 9:00 p.m. ¿Ya descubriste el #ModoWingo?"",","""tipo"":""company""}","{""_id"":14485358,""partition"":2,""screen_name"":""wingo"",""followers"":42083,""verified"":""FALSE"",""description"":""Cuenta oficial de la aerolínea más cool donde vuelas bien sin pagar más. ✈️ Nos tuiteamos todos los días de 7:00 a.m. a 9:00 p.m. ¿Ya descubriste el #ModoWingo?"",""tipo"":""company""}"
14834302,1,31,119,0.01618705,0.450993452,0.004096414,0.052631579,0.00587343,0.000543308,0.002716799,0.469325928,0.196290867,elespectador,4929564,53175,TRUE,news de Colombia y el mundo. El Espectador  el valor de la información. @sportssEE  @EEpersonal  @EspectadorVideo  @EspectadorBlogs  @TecnoEspectador,2008,12032,news,,,"{""_id"":14834302,","""partition"":1,","""screen_name"":""elespectador"",","""followers"":4929564,","""verified"":""TRUE"",","""description"":""news de Colombia y el mundo. El Espectador  el valor de la información. @sportssEE  @EEpersonal  @EspectadorVideo  @EspectadorBlogs  @TecnoEspectador"",","""tipo"":""news""}","{""_id"":14834302,""partition"":1,""screen_name"":""elespectador"",""followers"":4929564,""verified"":""TRUE"",""description"":""news de Colombia y el mundo. El Espectador  el valor de la información. @sportssEE  @EEpersonal  @EspectadorVideo  @EspectadorBlogs  @TecnoEspectador"",""tipo"":""news""}"
14884514,2,31,29,0.035516093,0.37473104,0.000375602,0,0.001370131,0.00033412,0.000644166,0.073446328,0.110665805,EEpersonal,500209,40,FALSE,Las mejores columnas editoriales y de opinión del diario @ElEspectador. Aquí la opinión es noticia. #EditorialEE,2008,909,journalism,,,"{""_id"":14884514,","""partition"":2,","""screen_name"":""EEpersonal"",","""followers"":500209,","""verified"":""FALSE"",","""description"":""Las mejores columnas editoriales y de opinión del diario @ElEspectador. Aquí la opinión es noticia. #EditorialEE"",","""tipo"":""journalism""}","{""_id"":14884514,""partition"":2,""screen_name"":""EEpersonal"",""followers"":500209,""verified"":""FALSE"",""description"":""Las mejores columnas editoriales y de opinión del diario @ElEspectador. Aquí la opinión es noticia. #EditorialEE"",""tipo"":""journalism""}"
14885293,0,31,34,0.033555328,0.382948826,0.002717478,0,0.000810783,0.009985793,0.000561143,0.076302488,0.187376726,jorgitomacumba,17928,11493,FALSE,Escritor amateur y mamagallista consumado.,2008,455,personal,,,"{""_id"":14885293,","""partition"":0,","""screen_name"":""jorgitomacumba"",","""followers"":17928,","""verified"":""FALSE"",","""description"":""Escritor amateur y mamagallista consumado."",","""tipo"":""personal""}","{""_id"":14885293,""partition"":0,""screen_name"":""jorgitomacumba"",""followers"":17928,""verified"":""FALSE"",""description"":""Escritor amateur y mamagallista consumado."",""tipo"":""personal""}"
15171377,3,29,37,0.033224756,0.37035984,0.00121373,0.004081633,0.000790802,0.000147418,0.000931937,0.045809554,0.604166667,ShockCo,213866,6939,TRUE,Shock es el lado B de la cultura pop y de la nueva música colombiana. El toque ácido de todo lo que les interesa a las nuevas generaciones.  👉 @VolkGamesBS 🎮,2008,1178,news,,,"{""_id"":15171377,","""partition"":3,","""screen_name"":""ShockCo"",","""followers"":213866,","""verified"":""TRUE"",","""description"":""Shock es el lado B de la cultura pop y de la nueva música colombiana. El toque ácido de todo lo que les interesa a las nuevas generaciones.  👉 @VolkGamesBS 🎮"",","""tipo"":""news""}","{""_id"":15171377,""partition"":3,""screen_name"":""ShockCo"",""followers"":213866,""verified"":""TRUE"",""description"":""Shock es el lado B de la cultura pop y de la nueva música colombiana. El toque ácido de todo lo que les interesa a las nuevas generaciones.  👉 @VolkGamesBS 🎮"",""tipo"":""news""}"
15232111,2,31,31,0.046792453,0.382278162,0.001109149,0,0.000946517,0.000500335,0.000677219,0.084745763,0.110665805,CinematecaBta,35723,841,FALSE,Cinemateca de Bogotá  Transformando miradas desde 1971.,2008,269,government entity,,,"{""_id"":15232111,","""partition"":2,","""screen_name"":""CinematecaBta"",","""followers"":35723,","""verified"":""FALSE"",","""description"":""Cinemateca de Bogotá  Transformando miradas desde 1971."",","""tipo"":""government entity""}","{""_id"":15232111,""partition"":2,""screen_name"":""CinematecaBta"",""followers"":35723,""verified"":""FALSE"",""description"":""Cinemateca de Bogotá  Transformando miradas desde 1971."",""tipo"":""government entity""}"
15404821,2,31,47,0.02136401,0.388313686,0.002871574,0.007874016,0.001838485,0.001032784,0.001113463,0.129943503,0.165998707,mincultura,562919,4564,TRUE,Cuenta oficial del Ministerio de Cultura de Colombia  | Ministra  @carmenIvasquez | #LaCulturaEsDeTodos,2008,1897,politics,,,"{""_id"":15404821,","""partition"":2,","""screen_name"":""mincultura"",","""followers"":562919,","""verified"":""TRUE"",","""description"":""Cuenta oficial del Ministerio de Cultura de Colombia  | Ministra  @carmenIvasquez | #LaCulturaEsDeTodos"",","""tipo"":""politics""}","{""_id"":15404821,""partition"":2,""screen_name"":""mincultura"",""followers"":562919,""verified"":""TRUE"",""description"":""Cuenta oficial del Ministerio de Cultura de Colombia  | Ministra  @carmenIvasquez | #LaCulturaEsDeTodos"",""tipo"":""politics""}"
15493583,2,29,14,0.069105691,0.353348168,0.000121811,0,0.000414075,0.016648561,0.000391349,0.033898305,0.055332902,PartidoMIRA,63527,392,TRUE,Única cuenta oficial del Partido Político MIRA en Twitter. Encuéntrenos también en https://t.co/N23smhxzI7 y en https://t.co/nlfE0HRgoU,2008,318,politics,,,"{""_id"":15493583,","""partition"":2,","""screen_name"":""PartidoMIRA"",","""followers"":63527,","""verified"":""TRUE"",","""description"":""Única cuenta oficial del Partido Político MIRA en Twitter. Encuéntrenos también en https://t.co/N23smhxzI7 y en https://t.co/nlfE0HRgoU"",","""tipo"":""politics""}","{""_id"":15493583,""partition"":2,""screen_name"":""PartidoMIRA"",""followers"":63527,""verified"":""TRUE"",""description"":""Única cuenta oficial del Partido Político MIRA en Twitter. Encuéntrenos también en https://t.co/N23smhxzI7 y en https://t.co/nlfE0HRgoU"",""tipo"":""politics""}"
15537702,2,31,21,0.087639311,0.364560886,0.000395052,0,0.008463592,0.005675657,0.001126412,0.028248588,0.110665805,Baena,59803,749,TRUE,Viceministro de Relaciones Laborales e Inspección en @MinTrabajoCol,2008,301,politics,,,"{""_id"":15537702,","""partition"":2,","""screen_name"":""Baena"",","""followers"":59803,","""verified"":""TRUE"",","""description"":""Viceministro de Relaciones Laborales e Inspección en @MinTrabajoCol"",","""tipo"":""politics""}","{""_id"":15537702,""partition"":2,""screen_name"":""Baena"",""followers"":59803,""verified"":""TRUE"",""description"":""Viceministro de Relaciones Laborales e Inspección en @MinTrabajoCol"",""tipo"":""politics""}"
15695712,0,31,42,0.033423446,0.401897962,0.004010226,0,0.001224362,0.000631074,0.001095581,0.148116595,0.099199443,JoseCarlosTecno,222216,18968,TRUE,🚀Periodista. Tecnología  gadgets  radio  digital #TransformaciónDigital  👉📲Instagram: JoseCarlosTecno - Oigo e interactúo con @BluRadioCo @LaKalle @HJCKRadio,2008,771,journalism,,,"{""_id"":15695712,","""partition"":0,","""screen_name"":""JoseCarlosTecno"",","""followers"":222216,","""verified"":""TRUE"",","""description"":""🚀Periodista. Tecnología  gadgets  radio  digital #TransformaciónDigital  👉📲Instagram: JoseCarlosTecno - Oigo e interactúo con @BluRadioCo @LaKalle @HJCKRadio"",","""tipo"":""journalism""}","{""_id"":15695712,""partition"":0,""screen_name"":""JoseCarlosTecno"",""followers"":222216,""verified"":""TRUE"",""description"":""🚀Periodista. Tecnología  gadgets  radio  digital #TransformaciónDigital  👉📲Instagram: JoseCarlosTecno - Oigo e interactúo con @BluRadioCo @LaKalle @HJCKRadio"",""tipo"":""journalism""}"
15930883,1,31,64,0.021214953,0.414982568,0.004085375,0.009803922,0.001853547,0.028017004,0.00124084,0.182262496,0.294436301,VLADDO,1277320,1667,TRUE,🎙 Caricaturista  columnista || Cartoonist | Columnist Semana / El Tiempo,2008,2990,personal,,,"{""_id"":15930883,","""partition"":1,","""screen_name"":""VLADDO"",","""followers"":1277320,","""verified"":""TRUE"",","""description"":""🎙 Caricaturista  columnista || Cartoonist | Columnist Semana / El Tiempo"",","""tipo"":""personal""}","{""_id"":15930883,""partition"":1,""screen_name"":""VLADDO"",""followers"":1277320,""verified"":""TRUE"",""description"":""🎙 Caricaturista  columnista || Cartoonist | Columnist Semana / El Tiempo"",""tipo"":""personal""}"
15935288,2,16,6,0.0125,0.330916552,0.000141599,0,3.52E-05,0.000296469,0.000185137,0.02259887,0.013833226,elempleocom,76226,1450,FALSE,Perfil oficial de http://t.co/2LY5q6Yr. Ofertas y news de trabajo. La mejor opción para su búsqueda de empleo y la selección de talentos en las compañías.,2008,575,company,,,"{""_id"":15935288,","""partition"":2,","""screen_name"":""elempleocom"",","""followers"":76226,","""verified"":""FALSE"",","""description"":""Perfil oficial de http://t.co/2LY5q6Yr. Ofertas y news de trabajo. La mejor opción para su búsqueda de empleo y la selección de talentos en las compañías."",","""tipo"":""company""}","{""_id"":15935288,""partition"":2,""screen_name"":""elempleocom"",""followers"":76226,""verified"":""FALSE"",""description"":""Perfil oficial de http://t.co/2LY5q6Yr. Ofertas y news de trabajo. La mejor opción para su búsqueda de empleo y la selección de talentos en las compañías."",""tipo"":""company""}"
16267101,1,24,2,0.065454545,0.278508237,4.56E-05,0,1.07E-05,0.000351556,0.000111906,0,0.024536358,museumnerd,231002,3823,FALSE,Museums. Art. History. Art History. Education. Museology. Historiography. Logophilia. Punnery. Ajedréz. Since 2008. Winner of 2013 @ShortyAwards Best Museum.,2008,3747,informative,,,"{""_id"":16267101,","""partition"":1,","""screen_name"":""museumnerd"",","""followers"":231002,","""verified"":""FALSE"",","""description"":""Museums. Art. History. Art History. Education. Museology. Historiography. Logophilia. Punnery. Ajedréz. Since 2008. Winner of 2013 @ShortyAwards Best Museum."",","""tipo"":""informative""}","{""_id"":16267101,""partition"":1,""screen_name"":""museumnerd"",""followers"":231002,""verified"":""FALSE"",""description"":""Museums. Art. History. Art History. Education. Museology. Historiography. Logophilia. Punnery. Ajedréz. Since 2008. Winner of 2013 @ShortyAwards Best Museum."",""tipo"":""informative""}"
16578268,5,13,6,0.051282051,0.328118498,0.0001951,0.001470588,0.000180475,1.85E-05,0.000267495,0.022216598,0.043527444,Millonarios,260625,9605,FALSE,Cuenta partidaria de Millonarios FC. El equipo más grande del fútbol colombiano.,2008,517,sports,,,"{""_id"":16578268,","""partition"":5,","""screen_name"":""Millonarios"",","""followers"":260625,","""verified"":""FALSE"",","""description"":""Cuenta partidaria de Millonarios FC. El equipo más grande del fútbol colombiano."",","""tipo"":""sports""}","{""_id"":16578268,""partition"":5,""screen_name"":""Millonarios"",""followers"":260625,""verified"":""FALSE"",""description"":""Cuenta partidaria de Millonarios FC. El equipo más grande del fútbol colombiano."",""tipo"":""sports""}"
16680420,2,25,10,0.014778325,0.318541891,0.000183097,0,6.65E-05,0.000877673,0.000177251,0.04519774,0.013833226,Humananews,29508,14090,FALSE,Sistema Informátivo de @HumanaRadio_ // Recibimos sus denuncias al email prensa@humanaradio.com.co,2008,50,news,,,"{""_id"":16680420,","""partition"":2,","""screen_name"":""Humananews"",","""followers"":29508,","""verified"":""FALSE"",","""description"":""Sistema Informátivo de @HumanaRadio_ // Recibimos sus denuncias al email prensa@humanaradio.com.co"",","""tipo"":""news""}","{""_id"":16680420,""partition"":2,""screen_name"":""Humananews"",""followers"":29508,""verified"":""FALSE"",""description"":""Sistema Informátivo de @HumanaRadio_ // Recibimos sus denuncias al email prensa@humanaradio.com.co"",""tipo"":""news""}"
17216417,1,27,15,0.019392917,0.347097325,0.000676918,0.001865672,0.000332697,0.000348374,0.000307186,0.041009062,0.073609075,cartelurbano,85451,4862,FALSE,journalism callejero y cultural alternativa.,2008,625,journalism,,,"{""_id"":17216417,","""partition"":1,","""screen_name"":""cartelurbano"",","""followers"":85451,","""verified"":""FALSE"",","""description"":""journalism callejero y cultural alternativa."",","""tipo"":""journalism""}","{""_id"":17216417,""partition"":1,""screen_name"":""cartelurbano"",""followers"":85451,""verified"":""FALSE"",""description"":""journalism callejero y cultural alternativa."",""tipo"":""journalism""}"
17572957,2,31,56,0.034456816,0.403476581,0.004706343,0.008547009,0.002540575,0.001740351,0.001000872,0.214689266,0.12449903,MauricioJaramil,63343,6973,TRUE,Periodista  estratega y consultor digital • Tecnología/Innovación/Ciencia/journalism • 2019: @ImpactoTIC  @HangoutsPer y @AmigosTIC. 🎙️💻🙏💡💙⚽️🇨🇴,2008,1431,journalism,,,"{""_id"":17572957,","""partition"":2,","""screen_name"":""MauricioJaramil"",","""followers"":63343,","""verified"":""TRUE"",","""description"":""Periodista  estratega y consultor digital • Tecnología/Innovación/Ciencia/journalism • 2019: @ImpactoTIC  @HangoutsPer y @AmigosTIC. 🎙️💻🙏💡💙⚽️🇨🇴"",","""tipo"":""journalism""}","{""_id"":17572957,""partition"":2,""screen_name"":""MauricioJaramil"",""followers"":63343,""verified"":""TRUE"",""description"":""Periodista  estratega y consultor digital • Tecnología/Innovación/Ciencia/journalism • 2019: @ImpactoTIC  @HangoutsPer y @AmigosTIC. 🎙️💻🙏💡💙⚽️🇨🇴"",""tipo"":""journalism""}"
17813487,4,31,98,0.023587224,0.44764077,0.012799042,0.2,0.003160149,0.009599637,0.002614141,0.290284791,0.061588738,newsCaracol,8356138,1300,TRUE,¡Primero en news!,2008,17925,news,,,"{""_id"":17813487,","""partition"":4,","""screen_name"":""newsCaracol"",","""followers"":8356138,","""verified"":""TRUE"",","""description"":""¡Primero en news!"",","""tipo"":""news""}","{""_id"":17813487,""partition"":4,""screen_name"":""newsCaracol"",""followers"":8356138,""verified"":""TRUE"",""description"":""¡Primero en news!"",""tipo"":""news""}"
17868951,0,25,16,0.048473968,0.345176249,0.000651237,0.001706485,4.27E-05,8.93E-05,0.000340583,0.022441908,0.121243764,Juanpis,47875,8603,FALSE,,2008,319,entertainment,,,"{""_id"":17868951,","""partition"":0,","""screen_name"":""Juanpis"",","""followers"":47875,","""verified"":""FALSE"",","""description"":"""",","""tipo"":""entertainment""}","{""_id"":17868951,""partition"":0,""screen_name"":""Juanpis"",""followers"":47875,""verified"":""FALSE"",""description"":"""",""tipo"":""entertainment""}"
18079284,1,31,109,0.0158125,0.452395504,0.002406397,0.034482759,0.005111932,0.00333451,0.002041461,0.37819468,0.318972659,RevistaSemana,4241299,2364,TRUE,journalism con carácter.,2008,10879,news,,,"{""_id"":18079284,","""partition"":1,","""screen_name"":""RevistaSemana"",","""followers"":4241299,","""verified"":""TRUE"",","""description"":""journalism con carácter."",","""tipo"":""news""}","{""_id"":18079284,""partition"":1,""screen_name"":""RevistaSemana"",""followers"":4241299,""verified"":""TRUE"",""description"":""journalism con carácter."",""tipo"":""news""}"
18256297,3,29,14,0.079422383,0.344903544,0.000408433,0,0.000183376,0.000322154,0.000361647,0.022904777,0.208333333,Superlitio,81115,145,TRUE,,2008,602,entertainment,,,"{""_id"":18256297,","""partition"":3,","""screen_name"":""Superlitio"",","""followers"":81115,","""verified"":""TRUE"",","""description"":"""",","""tipo"":""entertainment""}","{""_id"":18256297,""partition"":3,""screen_name"":""Superlitio"",""followers"":81115,""verified"":""TRUE"",""description"":"""",""tipo"":""entertainment""}"
18396299,0,31,31,0.020554813,0.365782707,0.002357721,0.004545455,0.000977236,0.000760939,0.00054545,0.116697923,0.055110802,diazsalamanca,368525,8280,FALSE,Periodista. Humorista.,2008,817,journalism,,,"{""_id"":18396299,","""partition"":0,","""screen_name"":""diazsalamanca"",","""followers"":368525,","""verified"":""FALSE"",","""description"":""Periodista. Humorista."",","""tipo"":""journalism""}","{""_id"":18396299,""partition"":0,""screen_name"":""diazsalamanca"",""followers"":368525,""verified"":""FALSE"",""description"":""Periodista. Humorista."",""tipo"":""journalism""}"
18488699,1,31,39,0.038387945,0.385825595,0.002718148,0.007042254,0.000553605,0.000811237,0.000671953,0.045565624,0.355777197,GarciaColorad0,31041,27152,FALSE,Abogado y político en formación. @Bogota @partidoverdecol - Co-Fundador.,2008,184,personal,,,"{""_id"":18488699,","""partition"":1,","""screen_name"":""GarciaColorad0"",","""followers"":31041,","""verified"":""FALSE"",","""description"":""Abogado y político en formación. @Bogota @partidoverdecol - Co-Fundador."",","""tipo"":""personal""}","{""_id"":18488699,""partition"":1,""screen_name"":""GarciaColorad0"",""followers"":31041,""verified"":""FALSE"",""description"":""Abogado y político en formación. @Bogota @partidoverdecol - Co-Fundador."",""tipo"":""personal""}"
18730977,3,31,37,0.020679887,0.37740364,0.001102951,0.003787879,0.001104007,0.000314867,0.000711978,0.143154856,0.25,radionica,639141,131950,TRUE,RadioPública de Colombia. Btá 99.1  M/llín 99.9  Cali 94.5  B/quilla 95.1  S.Marta 95.1  R/hacha 95.1  Málaga 92.3  Pei 95.6 ¡Somos radio cultural!,2009,2001,radio,,,"{""_id"":18730977,","""partition"":3,","""screen_name"":""radionica"",","""followers"":639141,","""verified"":""TRUE"",","""description"":""RadioPública de Colombia. Btá 99.1  M/llín 99.9  Cali 94.5  B/quilla 95.1  S.Marta 95.1  R/hacha 95.1  Málaga 92.3  Pei 95.6 ¡Somos radio cultural!"",","""tipo"":""radio""}","{""_id"":18730977,""partition"":3,""screen_name"":""radionica"",""followers"":639141,""verified"":""TRUE"",""description"":""RadioPública de Colombia. Btá 99.1  M/llín 99.9  Cali 94.5  B/quilla 95.1  S.Marta 95.1  R/hacha 95.1  Málaga 92.3  Pei 95.6 ¡Somos radio cultural!"",""tipo"":""radio""}"
18750741,3,29,18,0.031123139,0.354208244,0.000667514,0,0.00010921,0.000291163,0.000369377,0.062988137,0.145833333,moveconcertsco,38290,252,TRUE,¡Somos fans! Producimos grandes conciertos y experiencias únicas #WeLoveMusic,2009,383,fans,,,"{""_id"":18750741,","""partition"":3,","""screen_name"":""moveconcertsco"",","""followers"":38290,","""verified"":""TRUE"",","""description"":""¡Somos fans! Producimos grandes conciertos y experiencias únicas #WeLoveMusic"",","""tipo"":""fans""}","{""_id"":18750741,""partition"":3,""screen_name"":""moveconcertsco"",""followers"":38290,""verified"":""TRUE"",""description"":""¡Somos fans! Producimos grandes conciertos y experiencias únicas #WeLoveMusic"",""tipo"":""fans""}"
