id,average_engagement,common_hts,partition,core,in_degree,clustering,closeness,betweenness,vote_rank,authority,hubs,pagerank,ambassador,community_hub,screen_name,followers,friends,verified,description,listed,tipo
113127283,4.540740741,"[('LosArchivosInnovan', 16), ('SITA2019', 14), ('AEstaHora', 14)]",2,31,28,0.030954115,0.366627471,0.000902362,0.002188184,0.001119625,0.000627733,0.00061625,0.062146893,0.117582418,ArchivoGeneral,26830,1062,TRUE,Custodiamos  protegemos y ponemos al servicio de todos  la historia de los colombianos plasmada en documentos. Adscritos a @mincultura,328,informative
46389700,7.344186047,"[('342Artes', 1), ('DíaInternacionaldelGato', 1), ('InternationalCatDay', 1)]",3,28,12,0.029094828,0.344495294,0.000293457,0,0.000286686,0.000633426,0.000230142,0.045809554,0.083333333,museodantioquia,122715,1735,FALSE,Primer museo fundado en Antioquia hace 135 años. Trabajamos de la mano con las comunidades a través de la educación y la cultura.,540,government entity
53514952,326.972973,"[('NewProfilePic', 1), ('HackedByPaulettee', 1)]",3,21,12,0.214105793,0.322900637,0.000478042,0,2.56E-05,9.00E-05,0.000359928,0.017178583,0.1875,PauletteeOfcl,78807,311,FALSE,Youtuber | Influencer | Filmmaker • Misterio🕵🏼‍♀️#Misters IG: pauletteeoficial https://t.co/mARgmBsh9j 💌 Negentertainments: paulatorabusiness@gmail.com,592,personal
1020885913,88.23076923,"[('porristasmillos', 10), ('MasAzulQueNunca', 4), ('porristasfpc', 3)]",5,14,6,0.072115385,0.322602373,0.000291385,0,4.12E-05,0.000456801,0.000181691,0.029622131,0.029018296,PorristasMILLOS,20965,109,FALSE,Cuenta Oficial  gracias al amor a MFC somos las encargadas de alentar al club embajador y animar a su hinchada  instagram:PorristasMillos NO FACEBOOK,38,sports
322623953,72.76923077,"[('ElCasoWatson', 8), ('durosdeamar', 6), ('mujeresalaplancharecargado', 3)]",3,29,20,0.033783784,0.356013587,0.00044829,0,0.000479477,0.000575396,0.000373687,0.045809554,0.25,Veronica_Orozco,470798,226,TRUE,Actriz Colombiana. manager@mariaclaralopez.com,446,entertainment
39863994,890.3898305,"[('yocreoenelteniscolombiano', 13), ('bienvenidosalbus', 1), ('AslanlarSahada', 1)]",5,31,50,0.02640801,0.396603826,0.004459884,0.006756757,0.001196546,0.00112396,0.001075453,0.229571516,0.275673815,AndreaGuerreroQ,1150411,2372,TRUE,Periodista y conductora colombiana en RCN Televisión  ESPN y RCN La Radio  Defensora del #doblementeglorioso Cúcuta Dep y #yocreoenelteniscolombiano,1883,journalism
209915861,1353.767123,"[('JuevesDePaisa', 1), ('NuevaFotoDePerfil', 1), ('PrayForTheAmazon', 1)]",3,27,31,0.067323481,0.355216974,0.00152073,0.002881844,0.000211817,0.000159248,0.000673405,0.045809554,0.479166667,PaisaVlogs,1788446,2494,TRUE,YouTuber / Actor / Pionero de redes en Colombia. Gracias por ser parte de esto  fan de mis Paisanas ❤️,877,entertainment
329463917,28.22535211,"[('LlegóNohora', 71), ('ATrabajarConTodos', 71), ('NohoraGobernadora', 10)]",2,30,21,0.046684709,0.359383956,0.000307612,0,0.003984326,0.001224087,0.000408569,0.028248588,0.110665805,nohoratovar,40951,1109,TRUE,Candidata a la Gobernación de Meta. Ex embajadora de Colombia ante República Dominicana y Haití  ex Senadora de la República y orgullosamente llanera.,141,politics
1117317140,2349.276316,"[('CorazónDeGuerreras', 21), ('JuegosPanamericanos', 13), ('VamosColombia', 11)]",5,31,141,0.020049461,0.459417691,0.002458884,0.071428571,0.004914976,0.000258197,0.002868219,0.718336678,0.638402518,FCFSeleccionCol,4864319,55,TRUE,Cuenta Oficial Selecciones Colombia de Fútbol / Federación Colombiana de Fútbol. ⚽️🇨🇴,3816,sports
265991513,2.795918367,"[('ElNuevoDestino', 7), ('OrquideasEnElJardin', 2), ('SomosMásBdB', 1)]",0,28,15,0.025939177,0.347442627,0.000557127,0.001398601,0.000527596,0.000103124,0.000302214,0.049372198,0.044088641,BancodeBogota,92583,658,TRUE,¡Tú construyes nuestra comunidad! Estamos aquí para escucharte 👇  L-V   8:00 a.m. a 7 p.m. Sáb  8:00 a.m  a  2 p.m   Solicita saldos y certificados en @TuitBdB,104,company
3387462790,13.21925134,"[('ConvocatoriasCNSC', 94), ('Atención', 51), ('CNSC', 32)]",2,31,25,0.039035836,0.36981081,0.001671674,0.004405286,0.001691538,0.001108847,0.000586917,0.039548023,0.12449903,CNSCColombia,26552,1095,FALSE,Somos la entidad encargada de garantizar a través del mérito  que las entidades públicas de Colombia  cuenten con servidores de carrera competentes.,66,government entity
41704249,2.55026455,"[('EAFITalÁgora', 111), ('EAFIT', 15), ('AEstaHora', 14)]",2,31,19,0.038461538,0.351711308,0.000327815,0,0.000948835,0.000745488,0.000375053,0.056497175,0.062249515,EAFIT,126078,9797,TRUE,En EAFIT inspiramos vidas e irradiamos conocimiento para forjar humanidad y sociedad. Vigilada Mineducación.,607,education
53981491,36,"[('DbateConJuanpis', 1), ('Bolivar', 1), ('NuestroSpotify', 1)]",3,28,17,0.040151515,0.355072518,0.000644941,0,8.27E-05,0.000231488,0.000389361,0.062988137,0.125,CangrejoPerez,59506,366,TRUE,Gestor Ementertainmentnal  #MarketingLover y #CoolHunter. Nada es casualidad  todo es resiliencia. Mis videos: https://t.co/W5qdoPSxYo Instagram: https://t.co/KyUuhDnpn5,206,personal
77875062,94.75925926,"[('FelizJueves', 1), ('AnibalEsConfianza', 1), ('FelizMiercoles', 1)]",0,28,16,0.041205412,0.341063798,0.001029022,0.002267574,0.000132136,0.000142723,0.000294971,0.049372198,0.055110802,genteconvos,52658,50529,FALSE,Cuenta de opinión.  Contenidos en actividades sociales  sportss  mensajes positivos y fotografía. !Activa Mis Notificaciones!,174,personal
58599566,4.434108527,"[('ElPlanEsEnLaFUGA', 32), ('Bogotá', 26), ('FUGA', 23)]",2,31,29,0.05200341,0.372731408,0.000569742,0,0.000495813,0.000405482,0.000534271,0.079096045,0.103749192,FGAA,57488,1009,TRUE,La Fundación Gilberto Alzate Avendaño es una entidad pública y distrital dedicada al fortalecimiento cultural de Bogotá.,395,ngo
1656756955,426,"[('TipdeMelina', 2), ('micaradeponque', 1), ('Championslovers', 1)]",5,29,27,0.042110358,0.373688561,0.000949147,0.00177305,0.000486212,0.000185005,0.000738882,0.118488524,0.15960063,melinars90,137324,380,FALSE,Modelo y Presentadora. Colombia,99,entertainment
208901797,302.6724138,"[('SalaCivil', 75), ('SalaPenal', 20), ('SalaLaboral', 16)]",1,31,89,0.033882784,0.441082759,0.001959377,0.01754386,0.014097007,0.000985424,0.002834496,0.218714995,0.502995348,CorteSupremaJ,112256,402,FALSE,,182,government entity
220056572,7.282258065,"[('LaVidaEnPop', 9), ('RiRiCast', 5), ('ConAltura', 2)]",0,29,24,0.035552194,0.371304836,0.000638499,0,0.000979065,0.000169851,0.000580995,0.062837343,0.110221603,RivaPopMusic,28069,945,FALSE,Artista Pop // Radio Host 🎶💁🏼✨ #LaVidaEnPop management@rivapopmusic.com,51,entertainment
67962687,12.81666667,"[('tbt', 5), ('makú', 3), ('domingo', 2)]",1,29,14,0.036328872,0.356740887,0.000475439,0,8.17E-05,0.000487448,0.000362517,0.027339374,0.098145434,ROBERTO_CANO,345043,597,TRUE,ACTOR COLOMBIANO/COLOMBIAN ACTOR// https://t.co/Ky7DYyzJOL instagram -  https://t.co/N0ILWR9ISM Facebook page Roberto Cano,578,entertainment
1071809846,192.8885135,"[('PaLasQueSeaConJabónRey', 8), ('HechoConCalidad', 4), ('NoAlDesperdicio', 3)]",0,22,11,0.054517134,0.322066884,0.00031816,0.001612903,0.000146882,7.12E-05,0.000242085,0.017953527,0.077155122,ElChinoMeme,164955,634,FALSE,Soy el Alfa y Omega  nadie va al padre si no es por mi. CONTACTO → ElChinoMeme@Gmail.com,224,personal
1301761278,1514.790698,"[('Venezuela', 4), ('OEAenPanamá', 4), ('EleccionesPanamá', 4)]",2,30,32,0.035492458,0.380197397,0.000564368,0.001569859,0.012245261,0.001165607,0.000690638,0.079096045,0.12449903,AndresPastrana_,267450,1312,TRUE,Presidente de Colombia  1998-2002,783,politics
2658466429,91.8,"[('CONECTADOSIEMPREALFEP', 2), ('LlegaLaAsamblea', 1), ('MeUnoBavaria', 1)]",0,21,9,0.058823529,0.316980694,0.000382702,0.00204918,9.51E-05,5.07E-05,0.000214713,0.013465145,0.066132962,AniquiloTweets,239650,31929,FALSE,Aquí encontrarás frases con las que te sentirás identificado. Contacto/Publicidad: contacto@brandmen.org,253,entertainment
482353674,2.261904762,"[('DondeEstáLaNoticiaEstáMisael', 83), ('AlAire', 64), ('AlMicrófono', 30)]",2,28,11,0.030940594,0.339340584,0.00021431,0,0.000563521,0.000692608,0.000239464,0.016949153,0.055332902,dondeestalanoti,38346,1310,FALSE,Información  opinión  entertainment y actualidad permanente desde Villavicencio  Meta  Colombia  capital de la Orinoquia colombiana.,98,informative
78050753,3.053571429,"[('colombia', 5), ('Colombia', 5), ('Colombiamoda2019', 4)]",3,31,59,0.031112577,0.414391705,0.002813973,0.00390625,0.001856058,0.01705522,0.001010397,0.234773964,0.375,GiraldoSantiago,16161,2156,TRUE,Jefe de news de Cultura y entertainment de @newsRCN y @NTN24 Director de @FFNTN24 y @RCNespectaculo,126,personal
237759006,5.5,"[('CCC', 39), ('Prospera', 26), ('CaliMeetUp', 24)]",2,31,12,0.038756388,0.349389084,0.001021686,0.001788909,0.000278272,0.00095278,0.000266328,0.028248588,0.04841629,camaracali,26813,1277,TRUE,Desafiamos y acompañamos a los companyrios a CRECER  porque si las companys crecen  la región crece. Condiciones de uso en https://t.co/PkOEu4mk1f,279,government entity
1259858792,10.30645161,"[('SeguridadVial', 65), ('CuidaTuVida', 11), ('BiciUsuarios', 8)]",2,30,18,0.074663403,0.358130977,0.000532258,0,0.001270258,0.016206556,0.000420828,0.04519774,0.069166128,TransitoBta,25760,100,TRUE,Cuenta Oficial de la Policía de Tránsito de Bogotá DC,111,government entity
109063631,3.469387755,"[('AndrésCarneDeRes', 78), ('AndrésDC', 37), ('Chía', 29)]",3,29,22,0.033009709,0.35982828,0.001007626,0,0.000615331,0.000244076,0.00036905,0.074440525,0.1875,Andres_C_de_Res,42953,800,FALSE,Restaurante  Bar  Atípico Locombiano. +571 8612233  5893880 y 5893889. Se atiende también por #AndrésDC #AndrésCarnedeRes #LaPlazadeAndrés #AndrésExprés,181,entertainment
398499942,68.64411765,"[('MFC', 84), ('UnidosNadaNosDetiene', 64), ('NosUneLaMismaPasión', 31)]",5,8,3,0.230769231,0.29502393,7.40E-06,0.001428571,1.03E-05,0.000228688,0.000169888,0,0.043527444,MFCAcademia,17978,29,FALSE,¡Haz que tu 2019 sea Azul&Blanco! Sede: CAR  Norte Xcoli  Fontibón  Suba  Femenina  Bosa  Bodytech Active  Tunja y Villavicencio. 3183356829 - 7563594,26,company
168918626,7.684210526,"[('tbt', 7), ('sanalocura', 2), ('parcheinstinto', 2)]",3,29,27,0.029010239,0.368484204,0.001238935,0.002232143,0.000723821,0.000317165,0.000496715,0.057261942,0.354166667,valelizcano,115135,679,FALSE,ACTRÍZ-LOCUTORA-FITNESS-CONFERENCISTA-companyRIA SANALOCURA,229,personal
192379508,3.472222222,"[('UribismoDobleMoral', 2), ('RechazoLaGuerra', 1), ('TeQuitasEsaCamisetaOTePelamos', 1)]",1,28,15,0.031428571,0.337504183,0.000394002,0,0.000101536,0.000287297,0.000255877,0.031895937,0.098145434,Davidramirezmon,20765,14972,FALSE,Papá de tres perritos. Lector adicto. Melómano por placer y necesidad. Sociólogo. En este estricto orden.,48,personal
36087400,111.7886179,"[('20deJulio', 1)]",1,31,50,0.038487855,0.403476581,0.001606766,0.002923977,0.001427623,0.00082449,0.001314813,0.109357498,0.318972659,danielpacheco,37939,1898,FALSE,Periodista. Director de @zonafranca en @RedMasTV.,312,journalism
235307099,365.7444444,"[('FarcSiempreTerroristas', 1), ('Itagui', 1)]",2,30,14,0.049335863,0.355000334,0.000266272,0,0.000433094,0.001163471,0.000316075,0.039548023,0.04841629,ThaniaVegaP,61467,1922,FALSE,Exsenadora por el Centro Democrático. Autora del libro Qué Injusticia! Ante todo esposa  madre y abuela. Esposa del Coronel (r) Alfonso Plazas Vega.,179,politics
240402139,31.76470588,"[('PorElRepeto', 1)]",2,31,22,0.033139535,0.36895133,0.000458329,0,0.000856769,0.000414079,0.000493705,0.079096045,0.055332902,MaluPeriodista,223069,389,FALSE,Comunicadora Social de la U. Javeriana.Presentadora del noticiero de las 7pm y 7 Día.,401,journalism
4497221248,188.9325843,"[('fbf', 1)]",3,2,1,0,0.26664325,0,0,2.06E-06,4.80E-06,0.000115727,0,0.020833333,myandreakat,54680,67,FALSE,🇨🇴Colombiana ✨Good vibes only✨ #FANCENTRO Brand Ambassador🔥💜🔥💜PREMIUM SNAP⬇️😈🔞 #unikornsquad 🦄,90,personal
39657191,79.76470588,"[('CongressionalColGroup', 3), ('PorLaGente', 3), ('ApoyamosLeyTIC', 3)]",1,31,36,0.044527363,0.381609844,0.001173774,0,0.001114534,0.000462195,0.000576178,0.100244373,0.171754509,HoracioJSerpa,35302,4086,TRUE,Papá orgulloso de Salomón y Horacio Antonio. 🏛 Senador de la República de Colombia. Presidente de la Comisión Sexta Constitucional.,315,politics
20105871,9.134615385,"[('SabíasQue', 9), ('AEstaHora', 8), ('AcuerdosConservaciónProducción', 7)]",2,31,20,0.043527631,0.352991034,0.000476312,0.002024291,0.001984275,0.000725724,0.000347274,0.062146893,0.062249515,fundacionnatura,24059,1063,FALSE,Somos una ngo creada en 1983  dedicada a la conservación  uso y manejo de la biodiversidad  para generar beneficios sociales  económicos y ambientales.,212,ngo
242507324,183.635514,"[('FutbolEnDIRECTV', 6), ('SudamericanaEnDIRECTV', 3), ('ChampionsLeague', 3)]",5,29,29,0.054642564,0.358793229,0.000876944,0.002475248,0.002429594,0.000269035,0.000670688,0.037027664,0.348219555,JulianCaperaB,38521,751,FALSE,Cristo adelante. Premio Nacional de journalism #CPB 2014. Cronista/Periodista @VBARCaracol y #CarruselCaracol. Columnista en @KienyKe.,142,journalism
40801711,31.9352518,"[('NoOdioLosLunes', 21), ('Chistes', 14), ('chistes', 10)]",3,26,8,0.043766578,0.332491745,0.00033742,0,9.36E-05,0.007034831,0.000251888,0.034357165,0.041666667,JoseOrdonezJr,218755,276,FALSE,Humorista Colombiano. 10 veces récord Mundial de chistes. Adopto personas tristes y las hago reír. contacto: jose@joseordonez.net,556,entertainment
