182845963	PROCOLOMBIACO	PROCOLOMBIA
68961687	CholoValderrama	CholoValderrama
44946232	Colombia	Colombia
256099920	FortalezaCEIF	Fortaleza CEIF
247816345	MelisaMarArtuz	Melissa Martinez
90974409	aterciopelados	Aterciopelados
376951217	CocaColaForMeCo	Coca-Cola For Me Col
1029323618	SebastianYatra	Sebastian Yatra
154284860	KimberlyReyesH	Kimberly Reyes
271395703	gutierrezary	Ariadna Gutierrez
131596061	mindefensa	Mindefensa
1117317140	FCFSeleccionCol	Seleccin Colombia
39863994	AndreaGuerreroQ	Andrea Guerrero
309396750	Andreajg89	Andrea Jauregui G
1471068170	D_Ospina1	David Ospina
175210651	susy_mora	Susy Mora
142769153	ClaraTamaraV	Clara Tmara V
158419572	Rafa_Cifuentes	Rafael Cifuentes
50859813	PeterManjarres	Peter Manjarres
32167239	NicolasMayorca	NICOLAS MAYORCA
